"","d_r","rec_type","id","sex","age","race","Cons","Empower","NACH","LOC","teamwork","g","perf_fnl"
"1","","SCALE1","236584",1,50,1,4,1.85714285714286,2.1,2.77777777777778,2.22222222222222,3.5,2.77777777777778
"2","","SCALE1","272361",1,50,1,3.83333333333333,3.57142857142857,2.9,3.55555555555556,3.88888888888889,2.5,3.11111111111111
"3","","SCALE1","299380",1,50,1,4,3.85714285714286,3.1,3.44444444444444,3.55555555555556,1,3.66666666666667
"4","","SCALE1","281700",1,36,1,3.33333333333333,3.57142857142857,2.5,2.55555555555556,2.66666666666667,7,3.75
"5","","SCALE1","276422",1,49,1,3.5,3.66666666666667,2.33333333333333,4.11111111111111,3.22222222222222,5,3.875
"6","","SCALE1","291467",1,49,2,3.5,3.28571428571429,2.8,2.66666666666667,3.22222222222222,6.5,3.88888888888889
"7","","SCALE1","285723",1,30,1,3.33333333333333,3.42857142857143,2.8,3,3.11111111111111,4.5,3.88888888888889
"8","","SCALE1","279521",2,43,1,4.66666666666667,4.85714285714286,2.1,3.55555555555556,4.11111111111111,8,4.11111111111111
"9","","SCALE1","273748",1,33,1,4.16666666666667,4,3.4,4.22222222222222,3.88888888888889,7,4.125
"10","","SCALE1","298544",NA,0,2,4,3.57142857142857,3.1,2.88888888888889,3.66666666666667,3,4.22222222222222
"11","","SCALE1","297848",1,25,1,3.66666666666667,3.71428571428571,3.3,2.44444444444444,3.33333333333333,8.5,4.375
"12","","SCALE1","236688",1,50,1,3.33333333333333,3.57142857142857,2.3,2.66666666666667,3.55555555555556,3,4.57142857142857
"13","","SCALE1","269784",1,29,1,4,2.57142857142857,2.8,2.55555555555556,3.22222222222222,4,4.77777777777778
"14","","SCALE1","578708",2,43,1,3.66666666666667,3,2.7,2.66666666666667,2.88888888888889,2.5,4.875
"15","","SCALE1","295707",1,27,2,3.66666666666667,3.85714285714286,2.2,2.66666666666667,3.55555555555556,5,4.875
"16","","SCALE1","275803",1,29,1,3.66666666666667,3.85714285714286,2.5,3,3.66666666666667,6.5,4.875
"17","","SCALE1","269760",1,32,1,4.16666666666667,3.28571428571429,3.6,2.88888888888889,3.44444444444444,6.5,4.88888888888889
"18","","SCALE1","283486",1,45,1,4,3.28571428571429,2.6,3.22222222222222,3.55555555555556,4,4.88888888888889
"19","","SCALE1","301760",1,30,2,3.5,4.71428571428571,2.5,4.11111111111111,4.99,6.5,4.88888888888889
"20","","SCALE1","288740",2,31,1,4,3.85714285714286,3.4,3.44444444444444,4,7,4.94444444444444
"21","","SCALE1","268520",2,43,1,3.83333333333333,4.14285714285714,2.2,3,3.44444444444444,5.5,5
"22","","SCALE1","293648",1,41,1,3.5,4.14285714285714,2.1,3.22222222222222,3.55555555555556,4.5,5
"23","","SCALE1","296501",1,41,1,4.5,3.42857142857143,3.1,3.22222222222222,3.44444444444444,6,5
"24","","SCALE1","279501",2,45,1,4.5,3.85714285714286,2.2,3.22222222222222,4.22222222222222,6.5,5
"25","","SCALE1","302828",1,28,1,4,3.85714285714286,3,3.22222222222222,3.66666666666667,8,5
"26","","SCALE1","288583",2,41,1,4,4.28571428571429,3.2,3.44444444444444,3.88888888888889,9,5
"27","","SCALE1","264706",1,50,1,3.33333333333333,4.14285714285714,2.2,3.55555555555556,3.77777777777778,4.5,5
"28","","SCALE1","269743",1,31,2,4.5,3.85714285714286,2.6,3.33333333333333,3.55555555555556,6.5,5.11111111111111
"29","","SCALE1","287667",1,38,1,3.66666666666667,3.28571428571429,3.2,3.55555555555556,3.77777777777778,4.5,5.11111111111111
"30","","SCALE1","420541",1,50,1,3.66666666666667,2.71428571428571,2.9,2.66666666666667,3,3.5,5.125
"31","","SCALE1","292749",1,0,1,4,4,2.1,4,4.33333333333333,7.5,5.14285714285714
"32","","SCALE1","280624",2,38,1,3.5,3.57142857142857,2.3,3.44444444444444,4.11111111111111,8,5.16666666666667
"33","","SCALE1","278542",1,44,1,3.66666666666667,3.57142857142857,2.4,2.88888888888889,3.66666666666667,2.5,5.22222222222222
